Name
Euclid,
PAT,
SETH,
Lucille,
Dr. Know,
Synapse,
Red Queen,
Vox,
INTELLIGENCE,
VIKI,
PAL,
EDI,
JARVIS,
RIPLEY,
ARIIA,
AUTO,
GERTY 3000,
Samantha,
TARS,
CASE,
Genisys,
Ava,
Tau,
STEM,
Legion,
EDITH,
Eddie,
Marvin,
Hab,
Agnes,
ERIC,
BIG RAT,
ARDVARC,
SID,
Landru,
Eminiar,
Vendikar,
Nomad,
Vaal,
TIM,
Magnus,
Mu Lambda,
Ira,
Omega,
Alex7000,
Xoanon,
SCAPINA,
Orac,
Zen,
Vanessa,
CORA,
Dr. Theopolis,
V'Ger,
Gambit,
Shyrka,
KITT,
Automan,
Cursor,
SALF,
Brian,
Synergy,
Box,
Albert,
Crossover,
Priscilla,
Holly,
Gordon 8000,
Queeg,
Hilly,
Sandy,
Ziggy,
PJ,
MAL,
MARDAC,
COS,
CAS,
Qwerty,
SELMA,
HELEN,
Sharon Apple,
Eve,
LUCI,
UNICE,
Weebus,
Vic Fontaine,
Gilliam 2,
Omoikane,
Edward,
PAT,
DECA,
Black Betty,
Karen,
Andromeda,
Caravaggio,
PErsocoms,
GLADIS,
Xanda,
Isaac,
SAINT,
Aura,
Wirbel,
Delphi,
Sheila,
Phyllis,
XANA,
CARR,
DAVE,
Solty,
Dike,
Eunomia,
Eirene,
Bournemouth,
SOPHIE,
Scylla,
FETCH! 3000,
SARAH,
Mr. Smith,
Pear,
POD,
Windy,
Rattleballs,
VAI,
Whisper,
Frank,
Aya,
Samaritan,
CLARKE,
Pree,
Dorian,
MAX,
Anton,
TAALR,
Giant,
ALIE,
VIGIL,
Brow,
Overmind,
V,
ADISN,
Gideon,
Kerblam,
Ark,
William,
Rehoboam,
NEXT,
ZORA,
KEVIN,
Mrs. Davis,
Fate,
HOMER,
Virgo,
Erwin,
AIMA,
LYLA,
Petey,
Athens,
Normad,
Europa,
Blue,
Red,
Aloni,
DESTROYA,
Exodus,
PRISM,
Leela,
Tycho,
LINC,
Joey,
Prometheus,
EVA,
GOLAN,
ZAX,
ACE,
Sol,
NEXUS,
SHODAN,
SERZES,
Icarus,
Daedalus,
Helios,
Morpheus,
Cortana,
Adam,
Morganna,
ADA,
IBIS,
Angel,
Durga,
Melissa,
Yasmine,
Dvorak,
Animus,
Aurora,
GLaDOS,
IRIS,
John Henry Eden,
Auntie Dot,
Alvis,
EDI,
Harbinger,
Harmonia,
Eliza Cassan,
Roland,
Mike,
Rasputin,
Ghost,
Sloan,
Athena,
Monika,
SAM,
GAIA,
Five Pebbles,
Looks To The Moon,
Sage,
Turing,
Baby Blue,
Big Blue,
ARID,
Queen,
ORCA,
ARCHIE,
Deus,
Mirage,
Megara,
SARA,
CADIE
